name,year,level,type,apply,user,building,mode,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,EFH;ZFH;MFH,,0,15000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,EFH;ZFH;MFH,,0.2,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,EFH;ZFH;MFH,,0,15000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollector,basic,NWG,,0.2,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollector,basic,NWG,,0,60000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,NWG,,0.2,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,NWG,,0,60000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,NWG,,0.2,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,NWG,,0,60000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPump,basic,EFH;ZFH;MFH,,0.25,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPump,basic,EFH;ZFH;MFH,,0,15000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,EFH;ZFH;MFH,,0.25,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,EFH;ZFH;MFH,,0,15000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,EFH;ZFH;MFH,,0.25,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,EFH;ZFH;MFH,,0,15000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPump,basic,NWG,,0.25,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPump,basic,NWG,,0,60000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,NWG,,0.25,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,NWG,,0,60000,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,NWG,,0.25,0,,,,,,,,
Berlin_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,NWG,,0,60000,,,,,,,,
Bremen_Subsidy,2023,city,purchase,CHP,basic,all,,0.4,0,,,,,,,,
Potsdam_Subsidy,2023,city,purchase,PV,basic,EFH;ZFH;MFH,,,,0,0.6,0,250,,,,
